Samples,Population,Long,Lat,Annual_Mean_Temperature,Mean_Diurnal_Range,Isothermality,Temperature_Seasonality,Max_Temperature,Min_Temperature_of_Coldest_Month,Temperature_Annual_Range,Mean_Temperature_of_Wettest_Quarter,Mean_Temperature_of_Driest_Quarter,Mean_Temperature_of_Warmest_Quarter,Mean_Temperature_of_Coldest_Quarter,Annual_Precipitation,Precipitation_of_Wettest_Month,Precipitation_of_Driest_Month,Precipitation_Seasonality,Precipitation_of_Wettest_Quarter,Precipitation_of_Driest_Quarter,Precipitation_of_Warmest_Quarter,Precipitation_of_Coldest_Quarter
E_98_927,East,-114.0244,41.2356,5.829166695,11.95833338,34.66183589,815.3233019,23.39999962,-11.10000038,34.5,7.883333166,16.30000019,16.30000019,-3.550000052,356,37,25,13.92754926,101,76,76,90
E_98_928,East,-114.0244,41.2356,5.829166695,11.95833338,34.66183589,815.3233019,23.39999962,-11.10000038,34.5,7.883333166,16.30000019,16.30000019,-3.550000052,356,37,25,13.92754926,101,76,76,90
S_02_9952,South,-114.3742,32.8683,23.6583334,16.6000005,44.38502796,792.5041962,42.5,5.099999905,37.4000001,30.26666705,26.60000038,33.36666679,14.23333319,98,16,1,49.84724977,38,6,36,31
S_02_9953,South,-114.3742,32.8683,23.6583334,16.6000005,44.38502796,792.5041962,42.5,5.099999905,37.4000001,30.26666705,26.60000038,33.36666679,14.23333319,98,16,1,49.84724977,38,6,36,31
S_05_829B,South,-113.948,33.8578,21.78333335,19.09999996,45.58472379,843.8907121,42.90000153,1,41.90000153,31.88333352,25.3499999,32.21666718,11.68333328,151,25,2,48.37333217,57,10,41,43
S_05_830,South,-113.948,33.8578,21.78333335,19.09999996,45.58472379,843.8907121,42.90000153,1,41.90000153,31.88333352,25.3499999,32.21666718,11.68333328,151,25,2,48.37333217,57,10,41,43
S_05_831,South,-113.948,33.8578,21.78333335,19.09999996,45.58472379,843.8907121,42.90000153,1,41.90000153,31.88333352,25.3499999,32.21666718,11.68333328,151,25,2,48.37333217,57,10,41,43
S_05_832,South,-113.948,33.8578,21.78333335,19.09999996,45.58472379,843.8907121,42.90000153,1,41.90000153,31.88333352,25.3499999,32.21666718,11.68333328,151,25,2,48.37333217,57,10,41,43
S_07_810,South,-112.8621,32.4902,22.33333321,17.6166664,45.75757676,782.2762075,41.59999847,3.099999905,38.49999857,31.63333289,25.58333349,32.04999987,13.1166664,189,33,1,57.60919841,79,8,57,56
S_07_817,South,-112.8621,32.4902,22.33333321,17.6166664,45.75757676,782.2762075,41.59999847,3.099999905,38.49999857,31.63333289,25.58333349,32.04999987,13.1166664,189,33,1,57.60919841,79,8,57,56
S_07_818,South,-112.8621,32.4902,22.33333321,17.6166664,45.75757676,782.2762075,41.59999847,3.099999905,38.49999857,31.63333289,25.58333349,32.04999987,13.1166664,189,33,1,57.60919841,79,8,57,56
S_07_819,South,-112.8621,32.4902,22.33333321,17.6166664,45.75757676,782.2762075,41.59999847,3.099999905,38.49999857,31.63333289,25.58333349,32.04999987,13.1166664,189,33,1,57.60919841,79,8,57,56
S_23_7387,South,-117.6554,36.4166,13.26666671,16.83333354,44.41512628,782.0786205,32.40000153,-5.5,37.90000153,5.53333352,16.08333321,23.1500001,4.150000095,188,31,5,53.74688152,83,22,28,82
S_24_851,South,-118.2565,37.2359,13.04166669,16.98333322,43.77147662,803.4777671,32.70000076,-6.099999905,38.80000067,3.633333286,23.26666673,23.26666673,3.633333286,142,25,5,55.28258871,67,19,19,67
S_24_852,South,-118.2565,37.2359,13.04166669,16.98333322,43.77147662,803.4777671,32.70000076,-6.099999905,38.80000067,3.633333286,23.26666673,23.26666673,3.633333286,142,25,5,55.28258871,67,19,19,67
S_24_853,South,-118.2565,37.2359,13.04166669,16.98333322,43.77147662,803.4777671,32.70000076,-6.099999905,38.80000067,3.633333286,23.26666673,23.26666673,3.633333286,142,25,5,55.28258871,67,19,19,67
S_24_854,South,-118.2565,37.2359,13.04166669,16.98333322,43.77147662,803.4777671,32.70000076,-6.099999905,38.80000067,3.633333286,23.26666673,23.26666673,3.633333286,142,25,5,55.28258871,67,19,19,67
S_27_816,South,-114.7849,33.5388,23.50416674,15.27499998,41.06182705,823.4833394,42.20000076,5,37.20000076,13.71666662,26.96666654,33.73333327,13.71666662,96,17,1,56.25818309,36,5,24,36
S_31_6083,South,-115.7236,34.5377,23.33333357,17.11666695,42.79166662,854.7682653,43.70000076,3.700000048,40.00000072,33.56666724,26.94999981,33.95000013,13.21666702,73,13,0,51.2418907,29,4,21,24
S_34_8369,South,-115.7303,34.9108,19.3333335,17.13333383,42.20032799,858.3317233,39.40000153,-1.200000048,40.60000157,29.86666711,22.43333324,29.98333359,9.199999914,133,23,1,52.27667264,48,11,38,39
S_34_8372,South,-115.7303,34.9108,19.3333335,17.13333383,42.20032799,858.3317233,39.40000153,-1.200000048,40.60000157,29.86666711,22.43333324,29.98333359,9.199999914,133,23,1,52.27667264,48,11,38,39
S_50_824,South,-114.9625,36.2977,19.31250003,15.64166652,39.00664895,902.2450114,39.20000076,-0.899999976,40.10000074,10.63333313,23.33333317,30.75000032,8.649999966,129,19,3,40.91629222,48,16,31,38
S_50_825,South,-114.9625,36.2977,19.31250003,15.64166652,39.00664895,902.2450114,39.20000076,-0.899999976,40.10000074,10.63333313,23.33333317,30.75000032,8.649999966,129,19,3,40.91629222,48,16,31,38
S_50_826,South,-114.9625,36.2977,19.31250003,15.64166652,39.00664895,902.2450114,39.20000076,-0.899999976,40.10000074,10.63333313,23.33333317,30.75000032,8.649999966,129,19,3,40.91629222,48,16,31,38
S_53_465,South,-114.4649,36.5433,20.75833322,15.86666692,38.41807969,937.1568119,41,-0.300000012,41.30000001,11.7333331,25.06666676,32.5,9.566666434,129,18,3,40.26742982,48,15,29,39
S_54_803,South,-114.5758,36.6589,20.28333336,17.6333334,40.81790067,938.4957198,41.70000076,-1.5,43.20000076,11.31666688,24.63333305,32.04999987,9.066666849,125,17,3,38.7167937,46,15,28,38
S_54_804,South,-114.5758,36.6589,20.28333336,17.6333334,40.81790067,938.4957198,41.70000076,-1.5,43.20000076,11.31666688,24.63333305,32.04999987,9.066666849,125,17,3,38.7167937,46,15,28,38
S_54_805,South,-114.5758,36.6589,20.28333336,17.6333334,40.81790067,938.4957198,41.70000076,-1.5,43.20000076,11.31666688,24.63333305,32.04999987,9.066666849,125,17,3,38.7167937,46,15,28,38
S_99_855,South,-113.9483,37.0846,15.81666672,16.56666684,42.69759317,834.6102368,35.40000153,-3.400000095,38.80000162,7.550000111,18.73333351,26.43333356,6.25000002,260,35,7,33.66914312,92,36,53,78
S_99_856,South,-113.9483,37.0846,15.81666672,16.56666684,42.69759317,834.6102368,35.40000153,-3.400000095,38.80000162,7.550000111,18.73333351,26.43333356,6.25000002,260,35,7,33.66914312,92,36,53,78
S_99_857,South,-113.9483,37.0846,15.81666672,16.56666684,42.69759317,834.6102368,35.40000153,-3.400000095,38.80000162,7.550000111,18.73333351,26.43333356,6.25000002,260,35,7,33.66914312,92,36,53,78
W_26_6364,West,-120.0235,41.5646,9.224999944,15.43333308,41.59928118,793.3201152,27.89999962,-9.199999809,37.09999943,0.666666667,19.21666654,19.28333314,0.066666762,318,43,8,42.47773094,123,34,40,114
W_26_6365,West,-120.0235,41.5646,9.224999944,15.43333308,41.59928118,793.3201152,27.89999962,-9.199999809,37.09999943,0.666666667,19.21666654,19.28333314,0.066666762,318,43,8,42.47773094,123,34,40,114
W_44_934,West,-116.4998,43.1471,10.35000005,14.4666668,38.07017578,852.8828188,28.39999962,-9.600000381,38,0.616666734,20.60000022,20.91666683,-0.116666714,233,27,7,31.00966516,75,32,42,65
W_45_10195B,West,-118.8735,39.7581,11.57499987,16.03333302,40.18379338,864.2508555,32.09999847,-7.800000191,39.89999866,14.58333308,22.3166666,22.53333298,1.433333158,148,16,7,19.54016842,42,28,32,42
W_65_1775,West,-117.3915,40.921,9.533333307,15.03333313,39.66578703,835.4512421,28.5,-9.399999619,37.89999962,0.633333365,20.11666648,20.23333327,-0.049999952,233,27,8,29.27312213,74,33,41,69
W_66_941C,West,-117.5984,41.3463,9.841666579,17.0333333,42.05761408,851.5862949,29.79999924,-10.69999981,40.49999905,0.466666698,20.41666635,20.64999946,-0.116666714,229,29,7,33.6678881,82,30,38,74
W_66_941,West,-117.5984,41.3463,9.841666579,17.0333333,42.05761408,851.5862949,29.79999924,-10.69999981,40.49999905,0.466666698,20.41666635,20.64999946,-0.116666714,229,29,7,33.6678881,82,30,38,74
W_66_942,West,-117.5984,41.3463,9.841666579,17.0333333,42.05761408,851.5862949,29.79999924,-10.69999981,40.49999905,0.466666698,20.41666635,20.64999946,-0.116666714,229,29,7,33.6678881,82,30,38,74
W_67_10250,West,-118.9189,41.7668,8.333333373,14.48333335,41.38095243,756.5541863,26,-9,35,0.549999992,18.0999999,18.0999999,-0.199999968,247,28,10,25.1032742,76,41,41,67
W_67_10251,West,-118.9189,41.7668,8.333333373,14.48333335,41.38095243,756.5541863,26,-9,35,0.549999992,18.0999999,18.0999999,-0.199999968,247,28,10,25.1032742,76,41,41,67
W_67_10253,West,-118.9189,41.7668,8.333333373,14.48333335,41.38095243,756.5541863,26,-9,35,0.549999992,18.0999999,18.0999999,-0.199999968,247,28,10,25.1032742,76,41,41,67
W_79_838,West,-117.1595,38.3896,9.433333486,16.60000012,42.23918586,827.7552753,29.60000038,-9.699999809,39.30000019,19.55000035,4.183333516,20.03333346,-0.216666619,166,19,8,20.89459246,51,32,48,36
W_79_840,West,-117.1595,38.3896,9.433333486,16.60000012,42.23918586,827.7552753,29.60000038,-9.699999809,39.30000019,19.55000035,4.183333516,20.03333346,-0.216666619,166,19,8,20.89459246,51,32,48,36
W_79_843,West,-117.1595,38.3896,9.433333486,16.60000012,42.23918586,827.7552753,29.60000038,-9.699999809,39.30000019,19.55000035,4.183333516,20.03333346,-0.216666619,166,19,8,20.89459246,51,32,48,36
W_79_844,West,-117.1595,38.3896,9.433333486,16.60000012,42.23918586,827.7552753,29.60000038,-9.699999809,39.30000019,19.55000035,4.183333516,20.03333346,-0.216666619,166,19,8,20.89459246,51,32,48,36
W_79_845,West,-117.1595,38.3896,9.433333486,16.60000012,42.23918586,827.7552753,29.60000038,-9.699999809,39.30000019,19.55000035,4.183333516,20.03333346,-0.216666619,166,19,8,20.89459246,51,32,48,36
W_83_6366,West,-119.4316,40.6256,10.67916661,15.30833336,39.15174735,859.0228528,30.60000038,-8.5,39.10000038,1.233333309,21.36666648,21.46666654,0.499999921,211,26,7,33.52367297,75,28,33,72
W_88_935,West,-117.7841,42.2149,8.76666674,16.55000017,42.76485959,802.4460605,27.79999924,-10.89999962,38.69999886,-0.016666571,18.83333317,18.88333329,-0.666666508,255,28,9,27.58067563,79,38,49,71
